,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
3552,A.K.,@a_k1911,2018-08-17T19:35:56.000Z,"Replying to 
@GreekTrader777","Replying to 
@GreekTrader777
Nice! I added $BA calls for aug24 and have been holding vix puts for next Wednesday that are 200% right now (closed some to be risk free and lock some profits. More good China news much welcomed! Haha
1
1",,1,,1,[],https://twitter.com/a_k1911/status/1030538738768732161
3553,BHT,@TheBaseHitTradr,2018-08-17T20:08:21.000Z,"Replying to 
@SavnRyansPrvate","Replying to 
@SavnRyansPrvate
No offence, but I have no idea what you’re  talking about. Just $NFLX alone has made a $200 move since June and it’s giving at least 2-3 setups every single day. Check out the ranges of $TSLA $NVDA $CMG $BA and the other big names too and look at their volatility.
3
1",⚾,3,,1,[],https://twitter.com/TheBaseHitTradr/status/1030546896186736640
3554,EthanWrenn.com,@EthanxWrenn,2018-08-17T15:24:36.000Z,"""So, skip to ya lou, while I do what I do best
You ain't even impressed no more, you used to it""
https://youtube.com/watch?v=IdS3WVYr834…
$SHOP $USO $MNST $BABA $V $NFLX $DIA $BA $UNG $XLB $DGAZ $QQQ $SPY $SPX $NVDA $CL_F $GC_F $NG_F $SPXL #MU $GLD $SLV #stocks #investing #StockMarket","""So, skip to ya lou, while I do what I do best
You ain't even impressed no more, you used to it""
https://youtube.com/watch?v=IdS3WVYr834…
$SHOP $USO $MNST $BABA $V $NFLX $DIA $BA $UNG $XLB $DGAZ $QQQ $SPY $SPX $NVDA $CL_F $GC_F $NG_F $SPXL #MU $GLD $SLV #stocks #investing #StockMarket",😎 🐸,,,,[],https://twitter.com/EthanxWrenn/status/1030475487519432705
3555,StockNews.com,@stocknewsdotcom,2018-08-17T14:16:05.000Z,$BA Shares of the aerospace giant are up big over the past year. https://stocknews.com/news/ba-charts-show-technicals-improving-for-boeing-co-ba/…,$BA Shares of the aerospace giant are up big over the past year. https://stocknews.com/news/ba-charts-show-technicals-improving-for-boeing-co-ba/…,,,,,[],https://twitter.com/stocknewsdotcom/status/1030458244874100736
3556,Money Making Articles Hot Stuff,@mmahotstuff1,2018-08-17T11:17:24.000Z,Schwab Charles Investment Management INC Holding in Boeing Co $BA Decreased by $331.51 Million as Shares Declined - https://mmahotstuff.com/2018/08/17/schwab-charles-investment-management-inc-holding-in-boeing-co-ba-decreased-by-331-51-million-as-shares-declined.html…,Schwab Charles Investment Management INC Holding in Boeing Co $BA Decreased by $331.51 Million as Shares Declined - https://mmahotstuff.com/2018/08/17/schwab-charles-investment-management-inc-holding-in-boeing-co-ba-decreased-by-331-51-million-as-shares-declined.html…,,,,,[],https://twitter.com/mmahotstuff1/status/1030413278168719360
3557,Chameleon Options,@MC_OptionTrades,2018-08-17T02:36:02.000Z,$BA 17-Aug-18 ATM Implied Vol Increases +13.3% to 24.3. Straddle Implies a Move of ±1.2% https://marketchameleon.com/Overview/BA/OptionSummary/…,$BA 17-Aug-18 ATM Implied Vol Increases +13.3% to 24.3. Straddle Implies a Move of ±1.2% https://marketchameleon.com/Overview/BA/OptionSummary/…,🦎,,,,[],https://twitter.com/MC_OptionTrades/status/1030282071330238464
3558,StockNews.com,@stocknewsdotcom,2018-08-18T10:36:31.000Z,$BA Boeing must close on the multitude of casual commitments it received at the Farnborough Airshow. https://stocknews.com/news/ba-boeing-co-ba-sees-big-airshow-interest-but-inks-few/…,$BA Boeing must close on the multitude of casual commitments it received at the Farnborough Airshow. https://stocknews.com/news/ba-boeing-co-ba-sees-big-airshow-interest-but-inks-few/…,,,,,[],https://twitter.com/stocknewsdotcom/status/1030765377360482305
3559,StockNews.com,@stocknewsdotcom,2018-08-17T21:13:23.000Z,"$BA Awarded $217 mln Defense Logistics Agency Aviation contract with Dec 30, 2022 performance completion date and … https://stocknews.com/news/ba-awarded-217-mln-defense-logistics-agency-aviation-contract-with-dec/…","$BA Awarded $217 mln Defense Logistics Agency Aviation contract with Dec 30, 2022 performance completion date and … https://stocknews.com/news/ba-awarded-217-mln-defense-logistics-agency-aviation-contract-with-dec/…",,,,,[],https://twitter.com/stocknewsdotcom/status/1030563264340676608
3560,CommSec,@CommSec,2018-08-17T08:19:59.000Z,"Yesterday's DJIA Market movers

Advanced
$WMT +9.33%
$BA +4.29%
$CAT +3.21%

Declined
$INTC –0.61%
$DIS – 0.33%
$MSFT– 0.02%

(Thursday 16/08/18)","Yesterday's DJIA Market movers

Advanced
$WMT +9.33%
$BA +4.29%
$CAT +3.21%

Declined
$INTC –0.61%
$DIS – 0.33%
$MSFT– 0.02%

(Thursday 16/08/18)",,,,,[],https://twitter.com/CommSec/status/1030368631295639552
3561,Charlie Corke,@charliecorke,2018-08-18T04:17:22.000Z,"Replying to 
@charliecorke
 and 
@ipplays","Replying to 
@charliecorke
 and 
@ipplays
Oh for sure. Commons in $BA all day. Just learning and dabbling in options & I picked a strange year to begin. Just can't touch it weekly right now. 

If we see some early week SPY pullback then I'm calling for good talks. If we keep running into talks not so much...",,,,,[],https://twitter.com/charliecorke/status/1030669962426425344
